category,price_range,weight,processor,operating_system,hard_drive,optical_drive,memory,price
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,320GB,CD_DVD +RW,2GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,160GB,CD_DVD +RW,2GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,160GB,CD_DVD +RW,3GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,160GB,CD_DVD +RW,4GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,320GB,CD_DVD +RW,3GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,320GB,CD_DVD +RW,4GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,500GB,CD_DVD +RW,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,500GB,CD_DVD +RW,2GB,389.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,500GB,CD_DVD +RW,3GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,160GB,CD_DVD +RW,2GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,2GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,320GB,CD_DVD +RW,2GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,320GB,CD_DVD +RW,3GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,3GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,160GB,CD_DVD +RW,3GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,160GB,CD_DVD +RW,4GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,4GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,320GB,CD_DVD +RW,4GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,320GB,,4GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,320GB,,4GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,250GB,,4GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,160GB,,4GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,500GB,,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,250GB,,4GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,160GB,,4GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,500GB,,4GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,320GB,,4GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,160GB,,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,320GB,,4GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,160GB,,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,250GB,,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,250GB,,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,500GB,,4GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,500GB,,4GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,250GB,,4GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,250GB,,4GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,320GB,,4GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,500GB,,4GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,160GB,,4GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,320GB,,4GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,500GB,,4GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,160GB,,4GB,329.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 8,120GB,,1GB,319.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows XP Home,120GB,,1GB,309.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Ubuntu Linux,120GB,,1GB,329.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 7,120GB,,1GB,369.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 8,80GB,,1GB,399.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 8,160GB,,1GB,309.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows XP Home,160GB,,1GB,349.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows XP Home,80GB,,1GB,309.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Ubuntu Linux,80GB,,1GB,339.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Ubuntu Linux,160GB,,1GB,379.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 7,160GB,,1GB,269.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 7,80GB,,1GB,339.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 8,120GB,,2GB,399.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 8,160GB,,2GB,279.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 8,80GB,,2GB,279.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows XP Home,120GB,,2GB,379.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 7,120GB,,2GB,389.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Ubuntu Linux,120GB,,2GB,389.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Ubuntu Linux,160GB,,2GB,299.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows XP Home,160GB,,2GB,349.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 7,160GB,,2GB,299.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows XP Home,80GB,,2GB,319.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Windows 7,80GB,,2GB,399.0
Mini Notebooks,Less than $400,Ultra Light,Intel Atom,Ubuntu Linux,80GB,,2GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,160GB,,2GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,160GB,,2GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,500GB,,2GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,500GB,,2GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,320GB,,2GB,289.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,320GB,,2GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,250GB,,2GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,250GB,,2GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,320GB,,2GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,320GB,,2GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,160GB,,2GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,160GB,,2GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,250GB,,2GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,250GB,,2GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,500GB,,2GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,500GB,,2GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,320GB,,2GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,320GB,,2GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,160GB,,2GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,160GB,,2GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,250GB,,2GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,500GB,,2GB,389.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,500GB,,2GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,250GB,,2GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,500GB,,3GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,250GB,,3GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,160GB,,3GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,320GB,,3GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,320GB,,3GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,500GB,,3GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,160GB,,3GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,250GB,,3GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,250GB,,3GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,250GB,,3GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,320GB,,3GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,320GB,,3GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,500GB,,3GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,500GB,,3GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,160GB,,3GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,160GB,,3GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,160GB,,3GB,289.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,250GB,,3GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,500GB,,3GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,160GB,,3GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,500GB,,3GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,250GB,,3GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,320GB,,3GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,320GB,,3GB,359.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Ubuntu Linux,80GB,,2GB,609.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 8,80GB,,2GB,419.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows XP Home,80GB,,2GB,419.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 7,80GB,,2GB,589.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 7,80GB,,1GB,549.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows XP Home,80GB,,1GB,669.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Ubuntu Linux,80GB,,1GB,629.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 8,80GB,,1GB,499.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 8,160GB,,2GB,409.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 8,160GB,,1GB,479.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Ubuntu Linux,160GB,,2GB,729.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 7,160GB,,2GB,719.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows XP Home,160GB,,2GB,769.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Ubuntu Linux,160GB,,1GB,639.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 7,160GB,,1GB,659.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows XP Home,160GB,,1GB,439.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 7,120GB,,1GB,489.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 7,120GB,,2GB,739.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Ubuntu Linux,120GB,,2GB,719.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 8,120GB,,2GB,669.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows XP Home,120GB,,2GB,689.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Ubuntu Linux,120GB,,1GB,799.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows 8,120GB,,1GB,779.0
Mini Notebooks,$400 - $800,Ultra Light,Intel Atom,Windows XP Home,120GB,,1GB,799.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,4GB,629.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,,4GB,629.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,,4GB,419.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,4GB,709.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,4GB,409.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,,4GB,459.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,4GB,459.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,4GB,579.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,4GB,769.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,4GB,689.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,4GB,699.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,4GB,609.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,4GB,549.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,4GB,439.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,4GB,499.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,4GB,589.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,4GB,689.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,4GB,789.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,More than 4GB,409.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,3GB,549.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,3GB,579.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,More than 4GB,489.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,More than 4GB,789.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,CD_DVD +RW,3GB,709.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,3GB,499.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,More than 4GB,439.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,3GB,719.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,More than 4GB,469.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,3GB,409.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,,More than 4GB,599.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,,3GB,759.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,,More than 4GB,679.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,,3GB,529.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,,More than 4GB,529.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,,3GB,789.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,,More than 4GB,659.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,More than 4GB,739.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,More than 4GB,539.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,More than 4GB,489.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,3GB,499.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,3GB,419.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,3GB,679.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,3GB,799.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,3GB,539.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,More than 4GB,779.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,More than 4GB,559.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,More than 4GB,659.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,3GB,489.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,More than 4GB,669.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,3GB,539.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,3GB,729.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows Vista 64 bit,500GB,Blu Ray Disc,More than 4GB,409.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,3GB,689.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 8,500GB,Blu Ray Disc,More than 4GB,579.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,4GB,599.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,4GB,719.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,4GB,719.0
XPS Laptops,$400 - $800,Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,More than 4GB,479.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,More than 4GB,769.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,More than 4GB,679.0
XPS Laptops,$400 - $800,Desktop Replacement,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,3GB,519.0
XPS Laptops,$400 - $800,Ultra Light,Intel Core 2 Duo,Windows 7,500GB,CD_DVD +RW,3GB,749.0
